a surprising thing|jambo la ajabu
All the people consoled Ali and his sorrows.|Watu wote walimpoza Ali na huzuni zake
The mother cooled off the child's milk|Mama alipoza maziwa ya mtoto
The medic cured the patient|Mganga alimpoza mgonjwa
Heal the wound|poza kidonda
As (s)he comforted and flattered him/her|akimpoza moyo na kumbembeleza [Sul]
Be quiet|poza kulia
It is okay if you get illegal traffic to sell shoes from the port|ukipata propoza ya kuuza viatu vipya toka bandarini sawa [Ma]
blood oozed from his/her nose and mouth|damu ikamtoka puani na mdomoni [Kez]
wash clothes.|pua nguo
pound clothes.|pua nguo
scrape off the bark of a tree.|pua magome ya mti
The boxing champions fought each other well|Mabingwa wa ngumi walipuana vizuri
Two cats had sexual intercourse the whole night|Paka wawili walipuana usiku kucha
peel of mango.|pujua embe
separate maize grains from the chaff|Puchua kisuke cha mahindi
Before eating, (s)he skinned the mango|Kabla ya kula, alipuchua ngozi ya embe
strip off the grains of an ear of maize.|pujua mahindi
peel off the mango.|pujua embe
peel off the skin|pujua ngozi
The child scratched its mother on noticing that it was not going to be given milk|Mtoto alimpujua mama yake kuona hatapewa maziwa
The farmers separated the maize grains from the chaff after drying them in the sun|Wakulima walipujua visuke vya mahindi baada ya kuyakausha juani
skin off|pujua ngozi
strip off the grains of an ear of maize.|pujua mahindi
shake down fruits.|pukuta matunda
strip off the grains (from an ear of maize)|pukuta mahindi
The water was in abundance at the ocean|Maji yalijaa pukupuku baharini
The water was in abundance at the ocean|Maji yalijaa pukupuku baharini
During the wedding, the house had plenty of people|Wakati wa harusi, nyumba ilijaa pukupuku na watu
During the wedding, the house had plenty of people|Wakati wa harusi, nyumba ilijaa pukupuku na watu
The mother bought a full bundle of bananas|Mama alinunua mkungu mzima wa ndizi pukasa
The visitors congratulated the husband after the wedding|Wageni walimpukusa Bwana baada ya harusi
hand out presents to the children|Pukusa watoto na zawadi
The children harvested fruits by shaking off the tree|watoto walipukusa mchungwa
(s)he rewarded him/her with a present|Alimpukusa na zawadi
Grandmother shook off her clothes|Nyanya alipukusa nguo zake
shake down fruits.|pukuta matunda
strip off the grains (from an ear of maize)|pukuta mahindi
rice cooked in such a way that the grains are separate|wali wa pukute
Lulu was playing with pieces of bread that had fallen off the table|Lulu alikuwa akichezea chembe za mkate zilizopukutika mezani [Ya]
they remained to be harvested by the sunbird|wakabaki kupukutikwa na machozi [Moh]
Because the fire failed to light, he fanned it|Kwa vile moto ulikataa kuweka aliupuliza
Idi told him/her in a gentle and appropriate voice|Idi alimwambia kwa sauti ya kupulizia na kusihi [Sul]
inflate a ball|puliza mpira
The heart-beat went first on hearing that his/her mother had died|Puma ya moyo ilimwenda mbio kusikia mama yake alifariki
the pulse of the watch|Puma ya saa
the leg throb with pain|Mguu ulipuma kwa maumivu
(s)he bought a bundle of food|Alinunua pumba ya vykula
a heap of clothes|pumba la nguo
a lump of plowed earth|pumba la udongo
a package of goods|pumba la mizigo
Usually, (s)he smoke a packet of cigarettes every day|Kawaida anavuta pumba la sigara kila siku
The old man was absentminded after sleeping|Mzee alipumbaa baada ya kulala
do one's work carelessly.|pumba kazi
do one's work lazily.|pumba kazi
(s)he was negligent until (s)he fell of the tree|Alipumbaa mpaka akaanguka kutoka mtini
After work, they relaxed by taking beer|Baada ya kazi walipumbaa kwa kunywa pombe
(s)he was speechless to see that the child was speaking well|Alipumbaa kumwona mtoto anasema vizuri
do one's work thoughtlessly.|pumba kazi
stop being dull-witted|Waacha upumbavu huo
stop your foolishness|Waacha upumbavu wako
(s)he was perceived as an ignorant person due to his/her stupidity|Alionekana mtu mpumbavu kwa vitendo vyake
(s)he spoke like a stupid person|Aliongea kama mpumbavu
astound the mind|Pumbaza akili
(s)he decived him/her fraudulently|Alimpumbaza kwa ulaghai
The mother deluded the child so that it could not sleep early|Mama alimpumbaza mtoto asilale mapema
(s)he embarrassed him/her after everybody else had praised him/her|Alimpumbaza baada kila mtu kumkashifu
John made a fool of Ali after deceiving him|John alimpumbaza Ali kwa kumdanganya
take the mind off|pumbaza akili
the girl made everybody speechless on giving her speech|Msichana alipumbaza watu wote alipotoa hotuba
Grandfather suffered from a disease of the scrotum|Babu aliugua ugonjwa wa pumbo
big testicle|pumbo kubwa
the old man has a disease of the scrotum|Mzee amekuwa na pumbu
big testcile|pumbu kubwa
asthma is a disease of hold up in air pressure|Pumu ni ugonjwa wa wakubana pumzi
(s)he caught asthma until (s)he could not breath|Alibanwa na pumu, mpaka hakuweza kuvuta pumzi
Now I can catch a breath/take a rest.|sasa naweza kupumua
Now I can catch a breath/take a rest.|sasa naweza kupumua
The old man breathed after a long time|Mzee alipumua baada ya mwendo mrefu
We now need to cause grandfather to breathe|Tunahitaji kumpumuza babu sasa
work the entire day without a break.|fanya kazi kutwa bila pumzi
breathe out|toa (shusha) pumzi
Breathe when you are running|Vuta pumzi wakati unapokimbia
(s)he ran with heavy respiration|Alitembea na pumzi nzito
work the entire day without a rest.|fanya kazi kutwa bila pumzi
work the entire day without a break.|fanya kazi kutwa bila pumzi
breathe out|toa (shusha) pumzi
(s)he made the last breath before gasping for the spirit|Alitoa pumzi za mwisho kabla ya kukuta roho
work the entire day without a rest.|fanya kazi kutwa bila pumzi
With ferocity and excitement taking pressure on him|mori na pumzi moto zikimwenda [Moh]
rest after work|pumzika baada ya kazi
(s)he retired from work after fifty years|Alipumzika kazi baada ya miaka 50
The children played at the place for recreation|Watoto walicheza mahali pa pumzikio
During the time for recreation, the students travelled|Wakati wa pumzikio, wanafunzi walisafiri
The resort at the Island was nice|Pumzikio la kisiwani lilikuwa zuri
We waited for the bus at the resting place|Tulisubiri basi, mahali pakupumzika
During the time for relaxation, I will visit the parents|Wakati wa pumziko la kazi nitazuru wazazi
Rest break (from work)|pumziko la kazi
school vacation|pumziko la shule
calm these chidren|Wapumzishe hawa watoto
It is not usual for him to give peace to his/her workers|Sikawaida yeye kuwapumzisha wafanya kazi wake
All the workers were allowed some time to rest from his/her work|Wafanyakazi wote walipumzishwa kazi wake
Soothe this child from crying|Mpumzishe huyu mtoto kulia
scrape off the bark of a tree.|puna magome ya mti
strip the bark off a tree.|puna magome ya mti
pack ass|punda kihongwe
two or three times an African passed, I don't know which tribe, wearing nothing apart from a zebra skin|aliwahi kupita mara mbili tatu Mwafrika mmoja, sijui wa kabila gani, ambaye hakuvaa kitu ila ngozi ya punda milia [Saad S.  Yahya <i>Pepeta</i>]
"we waited for him, and he soon came".|tulikuwa tunamngoja, na punde akaja
"We waited for him, and in a little while he came".|punde kwa punde
The lion smelt the antelope directly|Punde si punde simba alimnukia paa
the heat of the sun is decreasing (toward sunset).|jua limepunga
the heat of the sun is diminishing (toward sunset).|jua limepunga
exorcise a spirit.|punga pepo
"fan the arms, give a signal".|punga mikono
"swing the arms, give a signal".|punga mikono
"wave the arms, give a signal".|punga mikono
What did (s)he diminish|yeye kapungua nini?  [Sul]
"fan the arms, give a signal".|punga mikono
"fan the arms, give a signal".|punga mikono
"swing the arms, give a signal".|punga mikono
"swing the arms, give a signal".|punga mikono
"swing the arms, give a signal".|punga mikono
"fan the arms, give a signal".|punga mikono
"fan the arms, give a signal".|punga mikono
"It is not the right amount of money (i.e., is too little)".|pesa hizi ni pungufu
a shorter month (of 29 days).|mwezi mpungufu
Nowadays there is a wane of food because of the drought|Siku hizi kuna upungufu wa chakula kwa sababu ya ukame
Health deficiency|upungufu wa afya
(s)he diminshed the brain because of smoking opium|Yeye alipunguka akili kwa kuvuta bangi
his/her weight has grown less|Uzito wake ulipunguka
(s)he ran short of money during the journey|Alipungukiwa na pesa wakati wa safari
Nowadays (s)he has decreased the body|Siku hizi amepunguza mwili
Also, (s)he is lessening eating a lot|Pia anapunguza kula sana
The tailor has lowered the price for tailoring|Mshonaji amepunguza bei ya kushona
Reduce speaking correctly|punguza kusema sawa
make the food less|punguza chakula
diminish the stomach|punguza tumbo
The teacher shortened the joke with laughter|mwalimu alipunguza mzaha na vicheko [Muk], umande huu ulipunguza joto la mwili wake [Kez]
The cloth is a bit long, it need to be reduced|[nguo] ndefu kidogo, inataka kupunguzwa [Sul]
The merchant cheated on the price of fish|Mchuruzi alipunja bei ya samaki
The tourist conned his/her colleagues|Mtalii alipunja wenzake
he deceived me by a whole pound.|alinipunja ratli nzima
have the avidity to do something.|fanya pupa ya
(s)he was eager to see the mother|Alikuwa na pupa ya kumwona mama
greediness to eat|pupa ya kula
I did not take him/her with haste|sikumchukulia pupa [Abd], amefanikiwa kumpa mgongo na kumtuliza pupa zake [Mun]
be in a hurry to do something.|fanya pupa ya
have a zeal for something.|fanya pupa ya
I did not want to be eager since he would have found me out.|sikutaka kufanya pupa maana angening'amua [Ya]
I did not want to be in a hurry to do (something) since he would have found me out|sikutaka kufanya pupa maana angening'amua [Ya]
wash clothes.|pura nguo
(s)he knocked down fruits (from a tree)|Alipura matunda
pound clothes.|pura nguo
The mother removed the shell from the beans before cooking them|Mama alizipura maharagwe kabla ya kuzipika
strip off maize grains|pura mahindi
The children fought each other with a whip|Watoto walipurana na bakora
the lovers had sexual intercourse for one hour|Wapenzi walipurana kwa saa moja
talk (listen) heedlessly/inattentively.|zungumza kwa purukusa
talk (listen) heedlessly/inattentively.|zungumza kwa purukusa
talk (listen) heedlessly/inattentively.|purukusha maneno [sikio]
(s)he felt contemptuous of her(him)self on realizing that (s)he had erred.|Alijipurukusha, alipoona amefanya kosa
talk (listen) heedlessly/inattentively.|purukusha maneno [sikio]
(s)he listened inattentively, when (s)he was told of his/her mistakes|Alipurukusha masikio, wakati alipoelezwa kosa lake
(s)he distracted the work rythm|Alipurukusha utaratibu wa kazi
Because of wanting to divert that side|kwa kutaka kumpurukusha upande ule [Abd]
The driver drove the car carelessly|dereva ameiendesha motokaa kwa purukushani
contemptuously|kwa purukushani
frivolously|kwa purukushani
act ngeligently|fanya purukushani
superficially|kwa purukushani
wash clothes.|pura nguo
pound clothes.|pura nguo
The rain has abated.|mvua imepusa
The rain has gradually ceased.|mvua imepusa
The rain has let up.|mvua imepusa
beat a rug.|puta zulia
beat a rug.|puta zulia
(s)he disregarded the conversation|Alipuuza mazungumzo
do one's work in a foolish way.|puza kazi
"Usually, (s)he does his/her work in a foolish way if (s)he is tired".|Kawaida anapuuza kazi kama amechoka
(s)he waited for Idi to say a word but he ignored him/her|alimngojea Idi atamke neno, lakini yeye alipuuza tu [Sul], alijipa kumpuuza Biti Kocho [Moh]
do one's work in a silly way.|puza kazi
do one's work in a foolish way.|puza kazi
talk nonsense|puza mazungumzo
do one's work in a silly way.|puza kazi
speak in a silly way|kusema na upuzi
Your silly behavior emanated from your disrespect for the people.|Puzo lake lilitokana na kutojali watu
low tide.|maji ya kupwa
the water dried up in the morning|Maji yalikupwana asubuhi
grind rice in a mortar.|pwaga mpunga kinuni
pound rice in a mortar.|pwaga mpunga kinuni
a clever thief and a still more clever one met each other.|pyagu na pyguzi wamekutana
coast and interior.|pwani na bara
coast and interior.|pwani na bara
the coat/suit is too big for him.|koti hili linampwaya
the coat/suit is too big for him.|koti hili linampwaya
the coat/suit is too big for him.|koti hili linampwaya
His/her throat dried because of his/her speaking a lot|Koo ilimpwea kwa kusema sana
He found himself in solitude after his wife died.|Alijiona pweke baada ya mke kufariki
Mashua run aground in town|Mashua ilipwelea majini
The traveller was stranded at the port|Msafiri alipwelewa bandarini
the apparatus was run aground|Chombo kilipweleza
she dragged herself into the kitchen and threw herself on top of the coconut grater|akajikokotea jikoni na kupweteka juu ya mbuzi [Sul]
The well dried up of water|Kisima kilipwewa maji
(s)he became hoarse because of singing|Alipwewa koo kwa kuimba
it cruised into the stones searching for cuttle-fish|kilirambaza maweni kuvua pweza [Moh]
Shamelessnes throbs his/her mouth|upujufu unampwita midomoni [Moh]
fresh tomatoes|nyanya mpya
modern studies|masomo mapya
new clothes|nguo mpya
up-to-date work|kazi mpya
a clever thief and a still more clever one met each other.|pyagu na pyguzi wamekutana
a clever thief and a still more clever one met each other.|pyagu na pyguzi wamekutana
The Lord is the Creator of all living things in the world|Rabi ndiye aliumba viumbe vyote duniani
the bed that was in confusion|kitanda kilichorabishika [Muk]
the bed that was in disorder|kitanda kilichorabishika [Muk]
stop the commotion!|waacha rabsha!
he is a confused person|yeye ni mtu wa rabsha
she is making noise|anafanya rabsha
the punishment for his/her mistakes will be paid for by God|Rada ya ubaya wake atalipiwa na mola
Tamima was forever contented with inheriting her husband|Tamima daima alikuwa radhi kumridhi mumewe [Moh]
this arrangement does not meet with my approval.|mpango huu mimi si radhi nao
he has been disowned by his father (does not have his father's blessing)|amekosa radhi ya baba yake
because of his/her choice, not because of his/her contentment|kwa hiari yake, lakini si kwa radhi yake [Sul]
the Japanese Government has once again pleaded fogiveness for atrocities committed by its Asian army during the war of 1930 to 1940|Serikali ya Japani kwa mara nyingine imeomba radhi kwa ukatili uliofanywa na jeshi lake Asia wakati wa vita vya miaka ya 1930 na 1940 [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
pardon me!|niwie radhi!
this arrangement does not meet my satisfaction.|mpango huu mimi si radhi nao
be struck by lightning|pigwa na radi
the short one was hit by trembling thunder|mfupi kapigwa radi la mbabaiko [Ma]
the short one was hiby trembling thunderclap|mfupi kapigwa radi la mbabaiko [Ma]
be struck by lightning|pigwa na radi
be struck by lightning|pigwa na radi
be struck by lightning|pigwa na radi
children enjoy playing with their friends|watoto hupenda kucheza na rafiki zao
The team from K.  played very unfairly.|timu ya K ilicheza rafu sana
The team from K.  played very unfairly.|timu ya K ilicheza rafu sana
be in comfort.|kaa raha mustarehe
find contentment|ona raha
find enjoyment.|ona raha
find entertainment|ona raha
Regina has had no peace since she got married|Regina tangu aolewe hakuwa na raha [Kez], raha iliyoje kulingana na yule kijana [Sul]
pay off a loan|komboa rahani
redeem a pledge|komboa rahani
redeem a pledge|komboa rahani
cheap goods.|bidhaa rahisi
an easy language (=one easy to learn)|lugha rahisi
easy work.|kazi rahisi
(s)he had no strategy nor idea of how to save her(him)self|hakuwa na hila wala rai ya kujiokoa [Moh]
in the opinion of ....|kwa rai ya
"Don't send him to the assembly, for he has no standpoint (of his own)".|msimtume huyu kwenye mkutano maana hana rai
inside right (football).|insaidi wa raiti
"to hope, have hopes".|wa na rajua
Until (s)he will be given a taste of honey|mpaka ataporambishwa asali [Sul]
tell fortunes.|piga ramli
Those who were cheerful did not have the intention of inciting enemity|wao waliokuwamo katika ramsa hawakuwa na nadhari ya kuchochea uhasama [Sul]
to plane.|piga randa
red color|rangi nyekundu
she applies cosmetics on the cheek and mouth|anajiremba marangi ya mashavu na midomo [Muk]
red (black) pigment/dye.|rangi nyekundu (nyeusi)
As Maksuudi flogged him/her with a strap|Maksuudi akimrapua kwa ukanda [Moh]
"fig.  abuse each other, speak ill of each other".|raruana
This cloth will not rip.|kitambaa hiki hakiraruki
This cloth will not rip.|kitambaa hiki hakiraruki
This cloth will not rip.|kitambaa hiki hakiraruki
Those who are laughing are splitting each other with laughter even more|wanaocheka wanararuka zaidi [Ma]
sprinkle with water.|rashia maji
The drrippings of a drizzle (of rain)|mmwagiko wa mvua ya rasharasha [Ma]
sprinkle with water.|rashia maji
give a formal reception|fanya karamu rasmi
official uniform|nguo za rasmi
the timetable should be affixed to the notice board and other copies distributed to each attendee|ratiba ibandikwe kwenye ubao wa matangazo na nakala nyingine zigawanywe kwa kila mhudhuriaji (<a href="http://www.logon.org/kiswahili/s/p066.html" target="_blank">Mpangilio wa Sikukuu</a>)
Spanish dollar.|reale ya mzinga
a long time|muda mrefu
a tall tree|mti mrefu
a deep well|kisima kirefu
extend a line.|refusha mstari
pay off a loan|komboa rehani
mortgage a house.|weka/tia rehani
redeem a pledge|komboa rehani
redeem a pledge|komboa rahani
commission business.|biashara ya rejareja
refer to the grammar.|rejea sarufi
To repeat difficult pharmaceutical words|kuyarejea majina magumu ya dawa [Sul]
(s)he had ran away from him/her on two occassions but returned later.|aliwahi kumtoroka kwa siku kadhaa, mara mbili, lakini alirejea tena [Mt]
after his return.|baada ya marejeo yake
during his lifetime, Daudi Kabaka <b>record</B>ed many songs, and they were loved by Kenyanse|wakati wa maisha yake, Daudi Kabaka alizi<b>rekodi</b> nyimbo nyingi, na zilipendwa na Wakenya
railroad line.|njia ya reli
railroad line.|njia ya reli
railroad line.|njia ya reli
railroad|njia ya reli
railway|njia ya reli
train line|njia ya reli
To adorn oneself with cosmetics of the cheek and mouth|kujiremba marangi ya mashavu na midomo [Abd]
(s)he lives with beautiful people|amekaa na watu warembo, [] macho yakimrembuka maziwa yakitikisika [Ya]
it was exhausted with blinking eyes|kilirembuka na macho kupekupe [Moh]
adopt a resolution.|pitisha rezolusheni
Spanish dollar.|reale ya mzinga
Spanish dollar.|reale ya mzinga
practice usury.|la riba
His agreement to his boss|ile ridhaa yake kwa tajiri wake [Moh]
Tamima was ever since willing to consent to her husband|Tamima daima alikuwa radhi kumridhi mumewe [Moh]
forgive him/her for his/her mistakes|mridhi kwa makosa yake
forgive him/her for his/her mistakes|mridhi kwa makosa yake
(s)he wanted to please him/her but was not able.|alitaka kumridhi, lakini hakuweza [Sul], ili kuziridhi sharti za Rozi [Sul], alitaka mamaake aridhi shauri la kupelekwa hospitali [Moh]
I will satisfy your needs|nitakuridhi mahitaji yako
(s)he was not satisfied even with one of those regions|yeye hakuridhika hata na moja kati ya sehemu hizo [Sul]
The only man who was able to take on the life of Diana and to satisfy it|mwanamme pekee aliyepata kuuchukua moyo wa Diana na kuuridhisha kabisa [Muk]
The referee pointed out the mistake after the players fought|Rifarii atoa kosa baada wachezaji kupigana
I don't like his/her aroma|Sipendi riha yake
The fragrance of this oil is nice|Riha ya mafuta haya ni mzuri
(s)he has bad odor|Ana riha mbaya
But among this age-group, the obligations of the youthful age have not stopped vascillating|lakini katika rika hili [] ahadi za ujana pia haziwachi kuyumbayumba [Moh]
put under arrest.|weka rumande
put in prison.|weka rumande
put in remand.|weka rumande
A light cloth with many folds|kitambaa chepesi chenye marinda mengi [Muk]
when Tegemea was married by Kabenga, she put on airs a few days at the beginning|Tegemea alipoolewa na Kabenga aliringa sana siku chache za mwanzoni [Kez]
that girl is conceited for she thinks she is very beautiful|msichana yule anajiringa kwa kujiona ni mzuri sana
The house burst into flames after catching fire|Nyumba iliripuka baada kushika moto
my heart explodes and the legs swing|roho huniripuka, miguu ikanicheza [Sul]
the father flared up on seeing that his child had been injured|Baba aliripuka kuona mwanawe amejeruhiwa
my heart flies into a rage and the legs swing|roho huniripuka, miguu ikanicheza [Sul]
(s)he has sent a letter|Ametuma risala
The message from maua has arrived|Risala kutoka kwa maua zimefika
give me a summary of your discussion|Nipe risala ya mazungumzo yenu
to tin-plate.|tia risasi
the police fired bullets at his body|polisi alimpiga risasi mwilini
Her/his face has imbued pain|uso wake umerishai uchungu [Muk], [msisitizo ule] ukapenya kwenye bongo lake na kurishai ndani ya fahamu yake [Moh]
(s)he deviated from Islam|Yeye aliritadi Uislamu
After his/her father died, (s)he inherited four cows|baba yake alipokufa alirithi ng'ombe wanne [Kez]
(s)he succeeded to the throne on his/her father's death|Alirithi ufalme baada ya baba kufa
His/her greatgrandfather bequeathed him the throne|Babu mkuu alimrithisha ufalme wake
Grandfather divided up the property of his dead parents|Babu alirithisha mali ya wazazi wake
You don't know whether it passes on the decay of the tooth.|hujui kama yanarithisha ubovu wa meno [Abd]
HIV/Aids is a transmitted disease|UKIMWI ni ugonjwa wakurithisha
I also like reading stories of all sorts: from terror to espionage to war and horror, from those of love to devilish ones|hupenda pia kusoma riwaya za kila aina: toka za ujambazi na upelelezi hadi za vita na maafa, toka za mapenzi hadi za majini na mashetani [Muk]
"I also like reading stories of all sorts: from those of gangsters to espionage and war and horror, from those of love to devilish ones".|kusoma riwaya za kila aina: toka za ujambazi na upelelezi hadi za vita na maafa [Muk]
to read terror and espionage novels|kusoma riwaya [] za ujambazi na upelelezi [Muk]
where (s)he lives is near the reserve|Anaishi karibu ni rizavu
To secure a job has never been destiny|kazi haijawa riziki kuipata [Abd]
the child died, it was not his/her fate|Mtoto alikufa, haikuwa riziki yake
I have not put maintenance in the stomach today ( I have not eaten today)|Sijatia riziki matumboni leo
He has had nothing to eat since morning.|tangu asubihi hajapata riziki
three quarters|kasa robo
a quarter past eight|saa mbili na robo
a bale of cotton.|robota la pamba
a bundle of cotton.|robota la pamba
a packet of goods|robota la mzigo
a parcel of letters|robota la barua
curdled milk.|maziwa ya robu
curdled milk.|maziwa ya robu
something else that could bewitch any man|kitu kingine ambacho [] kingeweza kumroga mwanamume ye yote [Mt]
she gave out her last breath|alitoa roho ya mwisho
he has a good character|ana roho njema
greed likes eating a lot|roho anapenda kula sana
if God takes his life today, he will be satisfied|Mungu akiichukua roho yake leo, atakuwa radhi [Moh]
she has a good personality|roho yake ni nzuri
the players had the spirit to win|wachezaji walikuwa na roho ya kushinda
the toothbrush was pressed down the throat|msuaki ulishindiliwa rohoni [Ya]
Mrs Tamima was unable to resist, she stood up, and was following from behind slowly by slowly|Bi Tamima roho haikumpa, alisimama, akawa anafuata nyuma kidogo kidogo [Moh]
the Mother of God who gave birth by the power of the Holy Spirit|Mama wa Mungu aliyezaa kwa nguvu za Roho Mtakatifu [Kez]
the mother cooked mashed potatoes|Mama alipika viazi vya rojorojo
gelatinous (fish food)|samaki rojorojo
I cooked rice and gravy|Nilipika wali na rojorojo
pad/platform for launching rocket|kiwanja cha kurusha roketi
(s)he wore shoes in the feet that made him/her to be tall|miguuni kavaa viatu vilivyomkuza na kumfanya awe ronjo [Moh]
possibly things would have gone well had Stella not blathered|labda mambo yote yangalikwenda sawasawa kama Stella asingaliropoka [Kez]
the drunkard spoke without thinking|Mlevi aliropoka
stop talking nonsense|Waacha kuropoka
the children are playing near the balcony|Watoto wanacheza karibu na roshani
they slept on the veranda|Walilala roshani
the water dripped constantly and soaked the floor of the house|maji yalidondoka daima na kurovya sakafu ya chumba [Ng]
the parent organizing the group|mzazi aliyekuwa akiongoza rubaa [Moh]
choir director.|rubani la kwaya
the guide took the tourists around|Rubani alitembeza watalii
choir leader|rubani la kwaya
the editor of this dictionary is an airplane pilot|mtengenezaji mkuu wa kamusi hii ni rubani anayeruka ndege
come back from a journey.|rudi kutoka safari
the father corrected his child because of a mistake|Baba alimrudi mwanawe kwa kosa
She has <b>return</b>ed home because her mother feels sick.|Ame<b>rudi</b> nyumbani kwa sababu mamake anasikia mgonjwa.
the visitors will rejoin here after their journey|Wageni watarudia hapa baada ya safari yao
the thief has gone back to stealing again|Mwivi amerudia kuiba
"will you repeat?"  "I will not repeat, my master"|"Utarudia?"  "Sirudii, bwana'ngu" [Kez]
the wife and the husband returned to each other|Mke na mume walirudiana
return the car today|Rudisha gari leo
the child returned the money to his/her mother|Mtoto alirudisha pesa kwa mama yake
return the favor, reciprocate|rudisha hisani
restore confidence|rudisha imani
take back the present|rudisha zawadi
he received back his money|Alirudishiwa pesa zake
his/her child was returned back to him/her|Alirudishiwa mtoto wake
their case has been take up for appeal (legal)|Kesi yao ametiwa rufaani
file an appeal (legal)|tia rufani
ask for permission.|omba ruhusa
ask for permission.|omba ruhusa
during the vacation, we shall visit Florida|Wakati wa ruhusa tutazuru Florida
allow him/her to go home|Mpe ruhusa ya kuenda nyumbani
permit him her to stay in the classroom|Mpe ruhusa ya kukaa darasani
John was permitted to stay in class|John aliruhusiwa kukaa darasani
(s)he is in a state of sleep that cannot allow him/her to perceive anything|yu katika usingizi ambao hautamruhusu kuhisi lolote [Muk]
the teacher allowed the student to stay in the classroom|Mwalimu aliruhusu mwanfunzi kukaa darasani
from afar a child's dream came to him|kwa mbali ilimjia ruia ya kitoto [Moh]
cross boundary.|ruka mpaka
shhh, be silent the aeroplane will fly|shhh, kimya ndege ataruka [Moh]
take off.|ruka juu
Zakaria was playing by jumping up and down|Zakaria alikuwa akicheza alikuwa akirukaruka [Kez]
pass beyond the borders/limits|ruka mpaka
pass over the border/limits|ruka mpaka
The rice has swelled up.|wali umeruka
go beyond bounds.|ruka mpaka
go beyond bounds.|ruka mpaka
go beyond bounds.|ruka mpaka
go beyond bounds.|ruka mpaka
go beyond bounds.|ruka mpaka
issue the dismissal|toa rukhsa
school holiday|rukhsa ya shule
driving license|rukhsa ya kupeleka gari
ask for permission.|omba ruhusa
the cat jumped at the rat|paka alirukia panya
flight of an aeroplane|ruko la ndege
(s)he was beside him(her)self|alikuwa karukwa na roho [Moh]
the Sultan of Turkey|sultani Rum
put under arrest.|weka rumande
put in prison.|weka rumande
put in remand.|weka rumande
like the way (s)he speaks and picks quarrels with his/her colleagues|kama vile anasema na kurumbiza wenzake [Moh]
put under arrest.|weka rumande
put in prison.|weka rumande
put in remand.|weka rumande
the child threw the book over the table|Mtoto alirusha kitabu juu ya meza
the pilot flew the airplane over the air|Rubani alirusha ndege juu angani
the police received a bribe|police walipokea rushwa
(s)he bribed the police|Alitoa rushwa kwa polisi
to dream strongly in the dampness of love|kuota imara kwenye rutuba ya mapenzi [Moh]
The soil is fertile.|ardhi ina rutuba
The soil is moist.|ardhi ina rutuba
the plants have been invigorated by the rain|Mimea imerutubika kwa mvua
The manure has made the field fertile.|kwa kutia mbolea sasa shamba limerutubishwa
if you are a farmer it is essential to know the rules of crop rotation in order to improve the soil, that is crops like beans, peanuts, and bullrush millet are among the crops with a great capability to improve the soil|ukiwa mkulima ni lazima kuzijua kanuni za kubadili mazao ili kurutubisha ardhi kwani mazao kama maharage, karanga na uwele ni moja kati ya mazao yenye uwezo mkubwa wa kurutubisha ardhi (<a href="http://www.sengerema.or.tz/jamii3.htm" target="_blank">Sengerema MCT Project</a>)
This person has supplied me with enough food and other things|Huyu ameniruzuku na chakula cha kutosha
a medicine for whooping cough.|dawa ya ruzuna
wall clock|saa ya ukuta
we traveled for three hours|tulisafiri kwa masaa matatu
what time is it?|ni saa ngapi?
wristwatch|saa ya mkono
seventh|saba a saba
two weeks|saba mbili.
The celebrations of the anniversary of TANU were addressed by the chairman of the workers organization|Sherehe za sabasaba ziliadhimishwa na rais wa chama cha wafanyakazi
John caused the house to catch fire|John alisababisha nyumba kuwasha moto
the child caused the house to catch fire.|Mtoto alisababisha nyumba kushika moto
what caused you to beat him/her|Sababu gani ulimpiga?
for what reason did you beat him|Sababu ya kuchelewa ni mvua
Kidawa greeted him in the morning|Kidawa alimsabahi [Sul]
President Clinton received President Yeltsin from Russia|Rais Clinton alimsabahi Rais Yeltsin kutoka Russia
John has seventy years|John ana miaka sabini
good morning, mother|Sabalheri mama
That girl is hostile|Msichana yule ni sabasi
The teacher will arrive on the 17th|Mwalimu atafika terehe sabatashara
John caused the house to catch fire|John alisabibisha nyumba kuwasha moto
The child gave the reason for the house to catch fire|Mtoto alisabibisha nyumba kushika moto
"Every morning, the teacher pays a call to his wife before leaving".|Kila asubuhi, mwalimu humsabihi mama yake kabla ya kwenda shule
I have met with him face to face|Nilimsabihi yeye mwenyewe
to take one of their female children and to let her free into a foreign land|kumtoa mtoto wao mmoja wa kike na kumsabilia ulimwengu wa kigeni [Moh]
give me seventy dollars|Nipe dola sabini
a Russian submarine, which was trapped under water for three days with fears that it would run out of air, has been rescued|nyambizi ya Urusi, iliyokuwa imekwama, chini ya maji kwa siku 3, huku wasiwasi wa kukosa hewa ukiwepo, imeopolewa.  (<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC</a> 10 Agosti 2005)
The visitors retired to the reception room|Wageni walipumzika katika sabule
soap bubbles|povu la sabuni.
forebearance brings good tidings|saburi yavuta heri.
patience is good|Saburi ni njema
to be resigned brings good luck/tiddings|saburi yavuta heri.
wait for me|nisaburi.
the woman gave alms to the poor|Mama alitoa sadaka kwa maskini
